,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
14_RP_D14,19266X137,19266,137,NA,NA,sample,5/14/21,D41,D14,infected,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,30960,Rerun,NA,NA,139,10465,2.944033361,9.943017157,139,14_RP_D14,14D14
14_RP_D28,19266X191,19266,191,3,86,sample,5/28/21,D41,D28,cleared,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,158,SouthBio,48,F11,NA,exp,NA,191,8606,NA,Original_Lane1,NA,NA,155,2881,3.720813081,9.805514169,155,14_RP_D28,14D28
14_RP_D31,19267X155,19267,155,4,16,sample,5/31/21,D41,D31,cleared,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,161,SouthBio,51,H2,NA,exp,NA,155,3794,29948,Rerun,NA,NA,282,11771,4.310263004,13.02061807,282,14_RP_D31,14D31
14_RP_D41,19267X138,19267,138,4,54,sample,6/10/21,D41,D41,cleared,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,171,SouthBio,61,F7,NA,exp,NA,138,4012,39924,Rerun,14,31,208,10962,3.588971907,12.2329012,208,14_RP_D41,14D41
14_RP_pre,19267X6,19267,6,1,6,sample,4/24/21,D41,D-5,pretreat,14_RP,14,RP,F,worm,HI,12/21/20,4/16/21,4/10/21,124,SouthBio,14,A6,NA,exp,NA,6,49498,NA,Original_Lane2,NA,NA,294,20215,3.920578027,14.04962502,294,14_RP_pre,14D-5
15_LP_D1,19266X109,19266,109,2,8,sample,5/1/21,D14,D1,infected,15_LP,15,LP,F,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,H1,NA,exp,NA,109,81176,NA,Original_Lane1,NA,NA,229,22189,3.462562436,12.60260165,229,15_LP_D1,15D1
15_LP_D10,19266X81,19266,81,2,69,sample,5/10/21,D14,D10,infected,15_LP,15,LP,F,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,E9,NA,exp,NA,81,144378,NA,Original_Lane1,NA,NA,303,34021,3.615333398,13.79780064,303,15_LP_D10,15D10
15_LP_D14,19266X149,19266,149,3,35,sample,5/14/21,D14,D14,infected,15_LP,15,LP,F,worm,HI,12/21/20,4/16/21,4/10/21,144,SouthBio,34,C5,NA,exp,NA,149,1,36630,Rerun,15,11,198,12958,3.542760258,11.57518945,198,15_LP_D14,15D14
15_LP_pre,19267X18,19267,18,1,18,sample,4/24/21,D14,D-5,pretreat,15_LP,15,LP,F,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,B6,NA,exp,NA,18,25631,NA,Original_Lane2,NA,NA,178,11409,3.485434222,11.43434985,178,15_LP_pre,15D-5
15_RLP_D1,19266X26,19266,26,2,9,sample,5/1/21,D41,D1,infected,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,A2,NA,exp,NA,26,46224,NA,Original_Lane1,NA,NA,196,15757,3.447383159,11.81063462,196,15_RLP_D1,15D1
15_RLP_D10,19266X93,19266,93,2,70,sample,5/10/21,D41,D10,infected,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,F9,NA,exp,NA,93,86753,NA,Original_Lane1,NA,NA,173,26323,3.452488188,10.83000262,173,15_RLP_D10,15D10
15_RLP_D14,19266X161,19266,161,NA,NA,sample,5/14/21,D41,D14,infected,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,22479,Rerun,NA,NA,203,6970,3.685648524,11.7279461,203,15_RLP_D14,15D14
15_RLP_D28,19266X203,19266,203,3,87,sample,5/28/21,D41,D28,cleared,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,150,SouthBio,48,G11,NA,exp,NA,203,7272,NA,Original_Lane1,NA,NA,96,2487,3.432229793,7.758479689,96,15_RLP_D28,15D28
15_RLP_D31,19267X75,19267,75,4,17,sample,5/31/21,D41,D31,cleared,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,153,SouthBio,51,A3,NA,exp,NA,75,71,43665,Rerun,NA,NA,336,17449,4.591817073,15.00426754,336,15_RLP_D31,15D31
15_RLP_pre,19267X30,19267,30,1,30,sample,4/24/21,D41,D-5,pretreat,15_RLP,15,RLP,F,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,C6,NA,exp,NA,30,31039,NA,Original_Lane2,NA,NA,264,13489,4.019514618,13.34465535,264,15_RLP_pre,15D-5
15_RP_D1,19266X38,19266,38,2,10,sample,5/1/21,D14,D1,infected,15_RP,15,RP,F,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,B2,NA,exp,NA,38,55774,NA,Original_Lane1,NA,NA,239,19165,3.580175742,12.58422814,239,15_RP_D1,15D1
15_RP_D10,19266X105,19266,105,2,71,sample,5/10/21,D14,D10,infected,15_RP,15,RP,F,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,G9,NA,exp,NA,105,165022,NA,Original_Lane1,NA,NA,307,41251,3.445198292,13.90489341,307,15_RP_D10,15D10
15_RP_D14,19266X173,19266,173,3,37,sample,5/14/21,D14,D14,infected,15_RP,15,RP,F,worm,HI,12/29/20,4/16/21,4/10/21,136,SouthBio,34,E5,NA,exp,NA,173,1,35486,Rerun,NA,10,274,12751,3.98170124,13.63824162,274,15_RP_D14,15D14
15_RP_pre,19267X42,19267,42,1,42,sample,4/24/21,D14,D-5,pretreat,15_RP,15,RP,F,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,D6,NA,exp,NA,42,38652,NA,Original_Lane2,NA,NA,197,16615,3.562019192,11.58443766,197,15_RP_pre,15D-5
15_RRP_D1,19266X50,19266,50,2,11,sample,5/1/21,D41,D1,infected,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,C2,NA,exp,NA,50,66294,NA,Original_Lane1,NA,NA,257,22108,3.631371551,13.53214057,257,15_RRP_D1,15D1
15_RRP_D10,19266X117,19266,117,2,72,sample,5/10/21,D41,D10,infected,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,H9,NA,exp,NA,117,154878,NA,Original_Lane1,NA,NA,246,44272,3.067908013,13.00892762,246,15_RRP_D10,15D10
15_RRP_D14,19266X185,19266,185,NA,NA,sample,5/14/21,D41,D14,infected,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,31389,Rerun,NA,NA,182,12356,3.663148253,11.64281945,182,15_RRP_D14,15D14
15_RRP_D28,19266X215,19266,215,3,88,sample,5/28/21,D41,D28,cleared,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,150,SouthBio,48,H11,NA,exp,NA,215,5624,NA,Original_Lane1,NA,NA,113,2067,3.494846551,8.516008969,113,15_RRP_D28,15D28
15_RRP_D41,19267X160,19267,160,4,56,sample,6/10/21,D41,D41,cleared,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,163,SouthBio,61,H7,NA,exp,NA,160,1688,7194,Rerun,16,NA,138,2389,3.736071767,9.73439971,138,15_RRP_D41,15D41
15_RRP_pre,19267X54,19267,54,1,54,sample,4/24/21,D41,D-5,pretreat,15_RRP,15,RRP,F,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,E6,NA,exp,NA,54,56368,NA,Original_Lane2,NA,NA,264,24495,3.846906787,14.14102234,264,15_RRP_pre,15D-5
16_LLP_D1,19266X62,19266,62,2,12,sample,5/1/21,D14,D1,infected,16_LLP,16,LLP,M,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,D2,NA,exp,NA,62,73190,NA,Original_Lane1,NA,NA,309,24209,4.203119692,14.69555484,309,16_LLP_D1,16D1
16_LLP_D10,19266X34,19266,34,2,73,sample,5/10/21,D14,D10,infected,16_LLP,16,LLP,M,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,A10,NA,exp,NA,34,32648,NA,Original_Lane1,NA,NA,282,12252,4.249850525,13.78195771,282,16_LLP_D10,16D10
16_LLP_D14,19266X197,19266,197,NA,NA,sample,5/15/21,D14,D14,infected,16_LLP,16,LLP,M,worm,HI,12/29/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,3128,Rerun,17,12,72,801,3.324470308,7.434921768,72,16_LLP_D14,16D14
16_LLP_pre,19267X66,19267,66,1,66,sample,4/24/21,D14,D-5,pretreat,16_LLP,16,LLP,M,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,F6,NA,exp,NA,66,43582,NA,Original_Lane2,NA,NA,218,20456,3.487050345,12.88989552,218,16_LLP_pre,16D-5
16_RLP_D1,19266X74,19266,74,2,13,sample,5/1/21,D14,D1,infected,16_RLP,16,RLP,M,worm,HI,12/29/20,4/16/21,4/10/21,123,SouthBio,21,E2,NA,exp,NA,74,59371,NA,Original_Lane1,NA,NA,256,18229,4.014315337,13.44993538,256,16_RLP_D1,16D1
16_RLP_D10,19266X46,19266,46,2,74,sample,5/10/21,D14,D10,infected,16_RLP,16,RLP,M,worm,HI,12/29/20,4/16/21,4/10/21,132,SouthBio,30,B10,NA,exp,NA,46,44783,NA,Original_Lane1,NA,NA,286,17192,4.13657468,14.28965965,286,16_RLP_D10,16D10
16_RLP_D14,19266X209,19266,209,NA,NA,sample,5/15/21,D14,D14,infected,16_RLP,16,RLP,M,worm,HI,12/29/20,4/16/21,4/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,54950,Rerun,18,13,257,18851,3.603425283,13.56295228,257,16_RLP_D14,16D14
16_RLP_pre,19266X6,19266,6,1,78,sample,4/24/21,D14,D-5,pretreat,16_RLP,16,RLP,M,worm,HI,12/29/20,4/16/21,4/10/21,116,SouthBio,14,G6,NA,exp,NA,6,66587,NA,Original_Lane1,NA,NA,262,29226,3.546062548,14.14422646,262,16_RLP_pre,16D-5
17_LLP_D1,19266X86,19266,86,2,14,sample,5/1/21,D41,D1,infected,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,F2,NA,exp,NA,86,41270,NA,Original_Lane1,NA,NA,186,13592,3.384387018,11.12277305,186,17_LLP_D1,17D1
17_LLP_D10,19266X58,19266,58,2,75,sample,5/10/21,D41,D10,infected,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,C10,NA,exp,NA,58,44727,NA,Original_Lane1,NA,NA,308,16497,4.181368661,13.67682129,308,17_LLP_D10,17D10
17_LLP_D14,19266X126,19266,126,3,41,sample,5/15/21,D41,D14,infected,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,A6,NA,exp,NA,126,234,64249,Rerun,NA,NA,188,16633,3.199762641,11.84920774,188,17_LLP_D14,17D14
17_LLP_D28,19266X132,19266,132,3,89,sample,5/28/21,D41,D28,cleared,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,A12,NA,exp,NA,132,13631,NA,Original_Lane1,NA,NA,134,4315,3.527118613,9.69631419,134,17_LLP_D28,17D28
17_LLP_D41,19267X80,19267,80,4,57,sample,6/10/21,D41,D41,cleared,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,A8,NA,exp,NA,80,14501,NA,Original_Lane2,NA,33,146,5898,3.489222267,10.21410744,146,17_LLP_D41,17D41
17_LLP_pre,19266X18,19266,18,1,90,sample,4/24/21,D41,D-5,pretreat,17_LLP,17,LLP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,H6,NA,exp,NA,18,13029,NA,Original_Lane1,NA,NA,120,4841,3.442663072,8.537453351,120,17_LLP_pre,17D-5
17_RLP_D1,19266X98,19266,98,2,15,sample,5/1/21,D41,D1,infected,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,G2,NA,exp,NA,98,76759,NA,Original_Lane1,NA,NA,233,22534,3.444242742,12.74089926,233,17_RLP_D1,17D1
17_RLP_D10,19266X70,19266,70,2,76,sample,5/10/21,D41,D10,infected,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,D10,NA,exp,NA,70,73273,NA,Original_Lane1,NA,NA,303,26795,3.800435638,14.34315172,303,17_RLP_D10,17D10
17_RLP_D14,19266X138,19266,138,3,42,sample,5/15/21,D41,D14,infected,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,B6,NA,exp,NA,138,453,39639,Rerun,NA,NA,287,16992,4.059096979,13.34410979,287,17_RLP_D14,17D14
17_RLP_D28,19266X144,19266,144,3,90,sample,5/28/21,D41,D28,cleared,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,B12,NA,exp,NA,144,18263,NA,Original_Lane1,NA,NA,147,4855,3.482259706,10.02966221,147,17_RLP_D28,17D28
17_RLP_D31,19267X87,19267,87,4,18,sample,5/31/21,D41,D31,cleared,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,126,SouthBio,51,B3,NA,exp,NA,87,12969,NA,Original_Lane2,NA,NA,148,4563,3.538291562,9.675322126,148,17_RLP_D31,17D31
17_RLP_D41,19267X92,19267,92,4,58,sample,6/10/21,D41,D41,cleared,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,B8,NA,exp,NA,92,14679,NA,Original_Lane2,19,34,162,4765,3.672727139,10.48967933,162,17_RLP_D41,17D41
17_RLP_pre,19267X7,19267,7,1,7,sample,4/24/21,D41,D-5,pretreat,17_RLP,17,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,A7,NA,exp,NA,7,112877,NA,Original_Lane2,NA,NA,283,38746,3.63199802,13.78411962,283,17_RLP_pre,17D-5
17_RRP_D1,19266X110,19266,110,2,16,sample,5/1/21,D14,D1,infected,17_RRP,17,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,H2,NA,exp,NA,110,56105,NA,Original_Lane1,NA,NA,225,19182,3.559654047,13.00063319,225,17_RRP_D1,17D1
17_RRP_D10,19266X82,19266,82,2,77,sample,5/10/21,D14,D10,infected,17_RRP,17,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,E10,NA,exp,NA,82,58858,NA,Original_Lane1,NA,NA,275,19963,3.705212636,13.37020115,275,17_RRP_D10,17D10
17_RRP_D14,19266X150,19266,150,3,43,sample,5/14/21,D14,D14,infected,17_RRP,17,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,109,SouthBio,34,C6,NA,exp,NA,150,252,63501,Rerun,NA,14,208,16686,3.451964132,12.35645686,208,17_RRP_D14,17D14
17_RRP_pre,19267X19,19267,19,1,19,sample,4/24/21,D14,D-5,pretreat,17_RRP,17,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,B7,NA,exp,NA,19,58102,NA,Original_Lane2,NA,NA,204,23471,3.481952501,12.38733516,204,17_RRP_pre,17D-5
18_LP_D1,19266X27,19266,27,2,17,sample,5/1/21,D41,D1,infected,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,A3,NA,exp,NA,27,50904,NA,Original_Lane1,NA,NA,259,21054,3.968955085,13.84131798,259,18_LP_D1,18D1
18_LP_D10,19266X94,19266,94,2,78,sample,5/10/21,D41,D10,infected,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,F10,NA,exp,NA,94,35875,NA,Original_Lane1,NA,NA,235,11818,4.02743036,12.74151802,235,18_LP_D10,18D10
18_LP_D14,19266X162,19266,162,3,44,sample,5/15/21,D41,D14,infected,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,D6,NA,exp,NA,162,370,35175,Rerun,NA,NA,184,10360,3.443449023,11.91789179,184,18_LP_D14,18D14
18_LP_D28,19266X156,19266,156,3,91,sample,5/28/21,D41,D28,cleared,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,C12,NA,exp,NA,156,10379,NA,Original_Lane1,NA,NA,74,3221,3.170955415,7.048256588,74,18_LP_D28,18D28
18_LP_D41,19267X104,19267,104,4,59,sample,6/10/21,D41,D41,cleared,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,C8,NA,exp,NA,104,8859,13424,Rerun,NA,NA,142,3629,3.457654895,9.690388042,142,18_LP_D41,18D41
18_LP_pre,19267X31,19267,31,1,31,sample,4/24/21,D41,D-5,pretreat,18_LP,18,LP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,C7,NA,exp,NA,31,456,35128,Rerun,NA,NA,200,8430,3.661059256,12.23672259,200,18_LP_pre,18D-5
18_RLP_D1,19266X39,19266,39,2,18,sample,5/1/21,D41,D1,infected,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,B3,NA,exp,NA,39,60424,NA,Original_Lane1,NA,NA,78,26835,2.599082289,6.789818217,78,18_RLP_D1,18D1
18_RLP_D10,19266X106,19266,106,2,79,sample,5/10/21,D41,D10,infected,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,G10,NA,exp,NA,106,59162,NA,Original_Lane1,NA,NA,136,22628,3.09068589,8.959965925,136,18_RLP_D10,18D10
18_RLP_D14,19266X174,19266,174,3,45,sample,5/15/21,D41,D14,infected,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,E6,NA,exp,NA,174,275,41215,Rerun,7,NA,112,11120,3.354041799,7.569744358,112,18_RLP_D14,18D14
18_RLP_D28,19266X168,19266,168,3,92,sample,5/28/21,D41,D28,cleared,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,D12,NA,exp,NA,168,23414,NA,Original_Lane1,NA,NA,84,5583,3.383387982,6.322127099,84,18_RLP_D28,18D28
18_RLP_D41,19267X116,19267,116,4,60,sample,6/10/21,D41,D41,cleared,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,D8,NA,exp,NA,116,14671,NA,Original_Lane2,NA,35,76,5321,3.224107599,6.172082343,76,18_RLP_D41,18D41
18_RLP_pre,19267X43,19267,43,1,43,sample,4/24/21,D41,D-5,pretreat,18_RLP,18,RLP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,D7,NA,exp,NA,43,73572,NA,Original_Lane2,NA,NA,109,23389,3.09927652,8.412225142,109,18_RLP_pre,18D-5
18_RP_D1,19266X51,19266,51,2,19,sample,5/1/21,D14,D1,infected,18_RP,18,RP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,C3,NA,exp,NA,51,81578,NA,Original_Lane1,NA,NA,306,34447,4.133743898,14.93459575,306,18_RP_D1,18D1
18_RP_D10,19266X118,19266,118,2,80,sample,5/10/21,D14,D10,infected,18_RP,18,RP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,H10,NA,exp,NA,118,45379,NA,Original_Lane1,NA,NA,156,17612,3.333168345,10.1117727,156,18_RP_D10,18D10
18_RP_D14,19266X186,19266,186,3,46,sample,5/14/21,D14,D14,infected,18_RP,18,RP,F,worm,HI,1/25/20,4/16/21,4/10/21,109,SouthBio,35,F6,NA,exp,NA,186,178,7871,Rerun,20,15,132,2763,3.707729569,9.701746395,132,18_RP_D14,18D14
18_RP_pre,19267X55,19267,55,1,55,sample,4/24/21,D14,D-5,pretreat,18_RP,18,RP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,E7,NA,exp,NA,55,104725,NA,Original_Lane2,NA,NA,333,43782,3.943832521,15.51559636,333,18_RP_pre,18D-5
18_RRP_D1,19266X63,19266,63,2,20,sample,5/1/21,D41,D1,infected,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,D3,NA,exp,NA,63,131480,NA,Original_Lane1,NA,NA,346,54520,4.169835377,15.52655814,346,18_RRP_D1,18D1
18_RRP_D10,19266X35,19266,35,2,81,sample,5/10/21,D41,D10,infected,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,A11,NA,exp,NA,35,83145,NA,Original_Lane1,NA,NA,214,22308,3.528259291,12.26048323,214,18_RRP_D10,18D10
18_RRP_D14,19266X198,19266,198,3,47,sample,5/15/21,D41,D14,infected,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,G6,NA,exp,NA,198,194,51717,Rerun,NA,NA,206,15773,3.477011287,12.63181741,206,18_RRP_D14,18D14
18_RRP_D28,19266X180,19266,180,3,93,sample,5/28/21,D41,D28,cleared,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,E12,NA,exp,NA,180,16370,NA,Original_Lane1,NA,NA,96,4807,3.31968645,8.138571928,96,18_RRP_D28,18D28
18_RRP_D31,19267X99,19267,99,4,19,sample,5/31/21,D41,D31,cleared,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,126,SouthBio,51,C3,NA,exp,NA,99,8075,NA,Original_Lane2,NA,NA,114,3112,3.581973272,8.890488836,114,18_RRP_D31,18D31
18_RRP_D41,19267X128,19267,128,4,61,sample,6/10/21,D41,D41,cleared,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,E8,NA,exp,NA,128,10535,NA,Original_Lane2,21,36,127,3503,3.569992154,9.172195958,127,18_RRP_D41,18D41
18_RRP_pre,19267X67,19267,67,1,67,sample,4/24/21,D41,D-5,pretreat,18_RRP,18,RRP,F,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,F7,NA,exp,NA,67,69745,NA,Original_Lane2,NA,NA,196,25702,3.349355282,12.10417437,196,18_RRP_pre,18D-5
19_LP_D1,19266X75,19266,75,2,21,sample,5/1/21,D41,D1,infected,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,E3,NA,exp,NA,75,76272,NA,Original_Lane1,NA,NA,253,30156,3.616982205,13.35934338,253,19_LP_D1,19D1
19_LP_D10,19266X47,19266,47,2,82,sample,5/10/21,D41,D10,infected,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,B11,NA,exp,NA,47,103109,NA,Original_Lane1,NA,NA,221,34315,3.201273117,12.43094746,221,19_LP_D10,19D10
19_LP_D14,19266X210,19266,210,3,48,sample,5/15/21,D41,D14,infected,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,H6,NA,exp,NA,210,98,54195,Rerun,NA,NA,264,18589,3.854103173,13.50923202,264,19_LP_D14,19D14
19_LP_D28,19266X192,19266,192,3,94,sample,5/28/21,D41,D28,cleared,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,F12,NA,exp,NA,192,9269,NA,Original_Lane1,NA,NA,106,2663,3.449590263,8.36272921,106,19_LP_D28,19D28
19_LP_D31,19267X111,19267,111,4,20,sample,5/31/21,D41,D31,cleared,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,126,SouthBio,51,D3,NA,exp,NA,111,9236,NA,Original_Lane2,NA,NA,143,3500,3.64600603,10.22678441,143,19_LP_D31,19D31
19_LP_D41,19267X139,19267,139,4,62,sample,6/10/21,D41,D41,cleared,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,F8,NA,exp,NA,139,7228,64442,Rerun,22,38,295,19163,3.993519825,14.45589217,295,19_LP_D41,19D41
19_LP_pre,19266X7,19266,7,1,79,sample,4/24/21,D41,D-5,pretreat,19_LP,19,LP,M,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,G7,NA,exp,NA,7,134935,NA,Original_Lane1,NA,NA,275,48677,3.640478801,14.40067926,275,19_LP_pre,19D-5
19_RLP_D1,19266X87,19266,87,2,22,sample,5/1/21,D14,D1,infected,19_RLP,19,RLP,M,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,F3,NA,exp,NA,87,65362,NA,Original_Lane1,NA,NA,260,27229,3.874171269,13.87826655,260,19_RLP_D1,19D1
19_RLP_D10,19266X59,19266,59,2,83,sample,5/10/21,D14,D10,infected,19_RLP,19,RLP,M,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,C11,NA,exp,NA,59,102530,NA,Original_Lane1,NA,NA,284,29737,3.770610723,13.80999968,284,19_RLP_D10,19D10
19_RLP_D14,19266X127,19266,127,3,49,sample,5/14/21,D14,D14,infected,19_RLP,19,RLP,M,worm,HI,1/25/21,4/16/21,4/10/21,109,SouthBio,34,A7,NA,exp,NA,127,7187,37066,Rerun,23,16,281,14034,4.249489172,13.88082527,281,19_RLP_D14,19D14
19_RLP_pre,19266X19,19266,19,1,91,sample,4/24/21,D14,D-5,pretreat,19_RLP,19,RLP,M,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,H7,NA,exp,NA,19,23068,NA,Original_Lane1,NA,NA,199,9388,3.663089108,11.35571903,199,19_RLP_pre,19D-5
19_RP_D1,19266X99,19266,99,2,23,sample,5/1/21,D41,D1,infected,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,96,SouthBio,21,G3,NA,exp,NA,99,121816,NA,Original_Lane1,NA,NA,333,52122,3.940641908,15.51471858,333,19_RP_D1,19D1
19_RP_D10,19266X71,19266,71,2,84,sample,5/10/21,D41,D10,infected,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,105,SouthBio,30,D11,NA,exp,NA,71,119253,NA,Original_Lane1,NA,NA,197,33078,3.517854375,12.04591962,197,19_RP_D10,19D10
19_RP_D14,19266X139,19266,139,3,50,sample,5/15/21,D41,D14,infected,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,110,SouthBio,35,B7,NA,exp,NA,139,10349,NA,Original_Lane1,NA,NA,172,3326,3.949377592,10.75918856,172,19_RP_D14,19D14
19_RP_D28,19266X204,19266,204,3,95,sample,5/28/21,D41,D28,cleared,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,123,SouthBio,48,G12,NA,exp,NA,204,9246,NA,Original_Lane1,NA,NA,104,2745,3.387745562,8.696241971,104,19_RP_D28,19D28
19_RP_D41,19267X150,19267,150,4,63,sample,6/10/21,D41,D41,cleared,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,136,SouthBio,61,G8,NA,exp,NA,150,7157,28691,Rerun,24,37,240,9196,4.013303751,12.57456381,240,19_RP_D41,19D41
19_RP_pre,19267X8,19267,8,1,8,sample,4/24/21,D41,D-5,pretreat,19_RP,19,RP,M,worm,HI,1/25/21,4/16/21,4/10/21,89,SouthBio,14,A8,NA,exp,NA,8,112184,NA,Original_Lane2,NA,NA,358,48500,4.296606873,16.03644327,358,19_RP_pre,19D-5
